"","IndicatorCode","Country","Year","Value"
"1","SDGWSHBOD","BLR",2019,1.6
"2","SDGWSHBOD","ZMB",2019,39.9
"3","SDGWSHBOD","POL",2019,5.7
"4","SDGWSHBOD","KWT",2019,0.6
"5","SDGWSHBOD","BRB",2019,7.7
"6","SDGWSHBOD","KIR",2019,37.4
"7","SDGWSHBOD","HRV",2019,3.2
"8","SDGWSHBOD","BOL",2019,12.8
"9","SDGWSHBOD","PRK",2019,4.1
"10","SDGWSHBOD","NAM",2019,21.7
"11","SDGWSHBOD","AMR",2019,4.9648
"12","SDGWSHBOD","BGD",2019,18.2
"13","SDGWSHBOD","KEN",2019,32.2
"14","SDGWSHBOD","NAM",2019,28.8
"15","SDGWSHBOD","THA",2019,11.8
"16","SDGWSHBOD","AZE",2019,3.6
"17","SDGWSHBOD","EST",2019,2.6
"18","SDGWSHBOD","GUY",2019,9.1
"19","SDGWSHBOD","PAK",2019,37.9
"20","SDGWSHBOD","AMR",2019,4.90006
"21","SDGWSHBOD","MYS",2019,14.4
"22","SDGWSHBOD","URY",2019,3.9
"23","SDGWSHBOD","ARG",2019,10.8
"24","SDGWSHBOD","BFA",2019,64.1
"25","SDGWSHBOD","LVA",2019,2.2
"26","SDGWSHBOD","BGR",2019,2.9
"27","SDGWSHBOD","URY",2019,5
"28","SDGWSHBOD","GIN",2019,61
"29","SDGWSHBOD","SVN",2019,2.5
"30","SDGWSHBOD","SLB",2019,34.7
"31","SDGWSHBOD","COM",2019,43.8
"32","SDGWSHBOD","ETH",2019,40.7
"33","SDGWSHBOD","CHE",2019,2.3
"34","SDGWSHBOD","SUR",2019,7
"35","SDGWSHBOD","UKR",2019,1.5
"36","SDGWSHBOD","THA",2019,11.3
"37","SDGWSHBOD","KGZ",2019,2.3
"38","SDGWSHBOD","PNG",2019,27.9
"39","SDGWSHBOD","CZE",2019,4.2
"40","SDGWSHBOD","YEM",2019,14.4
"41","SDGWSHBOD","BTN",2019,15.7
"42","SDGWSHBOD","SDN",2019,13.2
"43","SDGWSHBOD","UKR",2019,2.3
"44","SDGWSHBOD","BOL",2019,15.8
"45","SDGWSHBOD","TZA",2019,32.5
"46","SDGWSHBOD","THA",2019,12.3
"47","SDGWSHBOD","KHM",2019,17.7
"48","SDGWSHBOD","LBN",2019,2.4
"49","SDGWSHBOD","EGY",2019,4.8
"50","SDGWSHBOD","COG",2019,31.2
"51","SDGWSHBOD","GLOBAL",2019,18.93083
"52","SDGWSHBOD","LVA",2019,3.1
"53","SDGWSHBOD","EUR",2019,3.59976
"54","SDGWSHBOD","AFG",2019,17.2
"55","SDGWSHBOD","DNK",2019,4.1
"56","SDGWSHBOD","CAN",2019,2.3
"57","SDGWSHBOD","FJI",2019,10.1
"58","SDGWSHBOD","WSM",2019,6.7
"59","SDGWSHBOD","GNQ",2019,29.7
"60","SDGWSHBOD","TLS",2019,22.2
"61","SDGWSHBOD","CAN",2019,2.1
"62","SDGWSHBOD","SWE",2019,3
"63","SDGWSHBOD","HND",2019,7.1
"64","SDGWSHBOD","DOM",2019,5.8
"65","SDGWSHBOD","SRB",2019,3.9
"66","SDGWSHBOD","MKD",2019,1
"67","SDGWSHBOD","GHA",2019,30.7
"68","SDGWSHBOD","CAF",2019,97
"69","SDGWSHBOD","ARE",2019,0.7
"70","SDGWSHBOD","HND",2019,6
"71","SDGWSHBOD","TTO",2019,1.6
"72","SDGWSHBOD","SWZ",2019,59.9
"73","SDGWSHBOD","TON",2019,7.1
"74","SDGWSHBOD","MOZ",2019,45.6
"75","SDGWSHBOD","MAR",2019,4.6
"76","SDGWSHBOD","SOM",2019,99.2
"77","SDGWSHBOD","CPV",2019,13.1
"78","SDGWSHBOD","PAN",2019,3.9
"79","SDGWSHBOD","UZB",2019,2.5
"80","SDGWSHBOD","KHM",2019,17.1
"81","SDGWSHBOD","MEX",2019,3.5
"82","SDGWSHBOD","IRN",2019,3.2
"83","SDGWSHBOD","AFG",2019,16.6
"84","SDGWSHBOD","LSO",2019,108.1
"85","SDGWSHBOD","AUS",2019,1.9
"86","SDGWSHBOD","JPN",2019,8.4
"87","SDGWSHBOD","VEN",2019,5.2
"88","SDGWSHBOD","GRD",2019,5.6
"89","SDGWSHBOD","DOM",2019,6.1
"90","SDGWSHBOD","TGO",2019,50.2
"91","SDGWSHBOD","TON",2019,7.1
"92","SDGWSHBOD","PRT",2019,6.9
"93","SDGWSHBOD","VUT",2019,25
"94","SDGWSHBOD","KEN",2019,29
"95","SDGWSHBOD","CHL",2019,2.2
"96","SDGWSHBOD","IRN",2019,2.9
"97","SDGWSHBOD","PAK",2019,38.8
"98","SDGWSHBOD","CHL",2019,2.3
"99","SDGWSHBOD","PRY",2019,4.9
"100","SDGWSHBOD","SEAR",2019,29.62251
"101","SDGWSHBOD","CIV",2019,47
"102","SDGWSHBOD","BHR",2019,0.9
"103","SDGWSHBOD","CUB",2019,10.1
"104","SDGWSHBOD","GHA",2019,19.5
"105","SDGWSHBOD","CMR",2019,47.3
"106","SDGWSHBOD","SUR",2019,7.2
"107","SDGWSHBOD","BLZ",2019,3.7
"108","SDGWSHBOD","MWI",2019,25.3
"109","SDGWSHBOD","MDV",2019,2.3
"110","SDGWSHBOD","ARM",2019,5
"111","SDGWSHBOD","SRB",2019,4.3
"112","SDGWSHBOD","GEO",2019,3.3
"113","SDGWSHBOD","MLI",2019,73.2
"114","SDGWSHBOD","NER",2019,77
"115","SDGWSHBOD","MRT",2019,40.6
"116","SDGWSHBOD","TGO",2019,34.7
"117","SDGWSHBOD","AUT",2019,2.1
"118","SDGWSHBOD","SGP",2019,8.6
"119","SDGWSHBOD","IDN",2019,15.8
"120","SDGWSHBOD","PAN",2019,4.2
"121","SDGWSHBOD","SLE",2019,60.2
"122","SDGWSHBOD","HUN",2019,1.9
"123","SDGWSHBOD","GNQ",2019,29.9
"124","SDGWSHBOD","BHS",2019,3
