"","Id","IndicatorCode","SpatialDimType","Country","ParentLocationCode","TimeDimType","ParentLocation","Dim1Type","Year","Dim1","Dim2Type","Dim2","Dim3Type","Dim3","DataSourceDimType","DataSourceDim","Value","NumericValue","Low","High","Comments","Date","TimeDimensionValue","TimeDimensionBegin","TimeDimensionEnd"
"1",2487024,"WHOSIS_000001","COUNTRY","DNK","EUR","YEAR","Europe","SEX",2021,"SEX_MLE",NA,NA,NA,NA,NA,NA,"79.5 [79.4-79.6]",79.46414153,79.42575775,79.55433077,NA,"2024-08-02T09:43:39.193+02:00","2021","2021-01-01T00:00:00+01:00","2021-12-31T00:00:00+01:00"
"2",2487465,"WHOSIS_000001","COUNTRY","CAN","AMR","YEAR","Americas","SEX",2020,"SEX_MLE",NA,NA,NA,NA,NA,NA,"79.3 [79.3-79.4]",79.27704872,79.26210006,79.3550225,NA,"2024-08-02T09:43:39.193+02:00","2020","2020-01-01T00:00:00+01:00","2020-12-31T00:00:00+01:00"
"3",874,"WHOSIS_000001","COUNTRY","SOM","EMR","YEAR","Eastern Mediterranean","SEX",2008,"SEX_MLE",NA,NA,NA,NA,NA,NA,"48.0 [46.7-49.6]",48.03754082,46.71678387,49.62845721,NA,"2024-08-02T09:43:39.193+02:00","2008","2008-01-01T00:00:00+01:00","2008-12-31T00:00:00+01:00"
"4",1069,"WHOSIS_000001","COUNTRY","BTN","SEAR","YEAR","South-East Asia","SEX",2002,"SEX_BTSX",NA,NA,NA,NA,NA,NA,"67.8 [67.1-68.6]",67.84566543,67.08312422,68.55874474,NA,"2024-08-02T09:43:39.193+02:00","2002","2002-01-01T00:00:00+01:00","2002-12-31T00:00:00+01:00"
"5",3596,"WHOSIS_000001","COUNTRY","BHR","EMR","YEAR","Eastern Mediterranean","SEX",2011,"SEX_FMLE",NA,NA,NA,NA,NA,NA,"75.2 [75.1-75.4]",75.20535884,75.05047771,75.38517504,NA,"2024-08-02T09:43:39.193+02:00","2011","2011-01-01T00:00:00+01:00","2011-12-31T00:00:00+01:00"
"6",6867,"WHOSIS_000001","COUNTRY","SAU","EMR","YEAR","Eastern Mediterranean","SEX",2005,"SEX_FMLE",NA,NA,NA,NA,NA,NA,"73.1 [72.8-73.5]",73.12227378,72.80645298,73.47894822,NA,"2024-08-02T09:43:39.193+02:00","2005","2005-01-01T00:00:00+01:00","2005-12-31T00:00:00+01:00"
"7",7119,"WHOSIS_000001","COUNTRY","CYP","EUR","YEAR","Europe","SEX",2003,"SEX_MLE",NA,NA,NA,NA,NA,NA,"76.9 [76.7-77.2]",76.86012885,76.67123665,77.16347738,NA,"2024-08-02T09:43:39.193+02:00","2003","2003-01-01T00:00:00+01:00","2003-12-31T00:00:00+01:00"
"8",7435,"WHOSIS_000001","COUNTRY","DNK","EUR","YEAR","Europe","SEX",2014,"SEX_MLE",NA,NA,NA,NA,NA,NA,"78.6 [78.6-78.7]",78.61687489,78.59347689,78.7057478,NA,"2024-08-02T09:43:39.193+02:00","2014","2014-01-01T00:00:00+01:00","2014-12-31T00:00:00+01:00"
"9",8735,"WHOSIS_000001","COUNTRY","PHL","WPR","YEAR","Western Pacific","SEX",2007,"SEX_BTSX",NA,NA,NA,NA,NA,NA,"69.6 [69.3-70.0]",69.58190674,69.27042318,69.99117192,NA,"2024-08-02T09:43:39.193+02:00","2007","2007-01-01T00:00:00+01:00","2007-12-31T00:00:00+01:00"
"10",9274,"WHOSIS_000001","COUNTRY","MAR","EMR","YEAR","Eastern Mediterranean","SEX",2020,"SEX_FMLE",NA,NA,NA,NA,NA,NA,"73.9 [73.3-74.4]",73.86985157,73.33215257,74.42699856,NA,"2024-08-02T09:43:39.193+02:00","2020","2020-01-01T00:00:00+01:00","2020-12-31T00:00:00+01:00"
"11",10232,"WHOSIS_000001","COUNTRY","WSM","WPR","YEAR","Western Pacific","SEX",2004,"SEX_FMLE",NA,NA,NA,NA,NA,NA,"72.1 [71.6-72.7]",72.08095548,71.56647872,72.73081838,NA,"2024-08-02T09:43:39.193+02:00","2004","2004-01-01T00:00:00+01:00","2004-12-31T00:00:00+01:00"
"12",11581,"WHOSIS_000001","COUNTRY","JOR","EMR","YEAR","Eastern Mediterranean","SEX",2014,"SEX_MLE",NA,NA,NA,NA,NA,NA,"78.4 [78.0-78.9]",78.39096907,77.9773549,78.89185172,NA,"2024-08-02T09:43:39.193+02:00","2014","2014-01-01T00:00:00+01:00","2014-12-31T00:00:00+01:00"
"13",12950,"WHOSIS_000001","COUNTRY","URY","AMR","YEAR","Americas","SEX",2015,"SEX_BTSX",NA,NA,NA,NA,NA,NA,"77.1 [77.1-77.2]",77.09925201,77.05355529,77.20308276,NA,"2024-08-02T09:43:39.193+02:00","2015","2015-01-01T00:00:00+01:00","2015-12-31T00:00:00+01:00"
"14",12953,"WHOSIS_000001","COUNTRY","DNK","EUR","YEAR","Europe","SEX",2020,"SEX_FMLE",NA,NA,NA,NA,NA,NA,"83.2 [83.1-83.3]",83.16166983,83.13841156,83.25733665,NA,"2024-08-02T09:43:39.193+02:00","2020","2020-01-01T00:00:00+01:00","2020-12-31T00:00:00+01:00"
