"","IndicatorCode","Country","Year","Value"
"1","WSH_WATER_BASIC","MDG",2020,34.94855
"2","WSH_WATER_BASIC","GIN",2020,68.92063
"3","WSH_WATER_BASIC","URY",2020,95.30083
"4","WSH_WATER_BASIC","CHL",2009,98.08867
"5","WSH_WATER_BASIC","SUR",2005,91.35679
"6","WSH_WATER_BASIC","GRC",2005,99.808
"7","WSH_WATER_BASIC","DEU",2015,100
"8","WSH_WATER_BASIC","CYP",2020,99.72516
"9","WSH_WATER_BASIC","BGR",2006,99.11682
"10","WSH_WATER_BASIC","GMB",2007,76.61434
"11","WSH_WATER_BASIC","JOR",2008,96.82197
"12","WSH_WATER_BASIC","CIV",2006,89.52668
"13","WSH_WATER_BASIC","SGP",2001,100
"14","WSH_WATER_BASIC","MKD",2007,96.45902
"15","WSH_WATER_BASIC","MRT",2006,32.64342
"16","WSH_WATER_BASIC","BHR",2021,99.9199
"17","WSH_WATER_BASIC","IDN",2015,80.98156
"18","WSH_WATER_BASIC","TJK",2020,81.85242
"19","WSH_WATER_BASIC","SLE",2003,29.19871
"20","WSH_WATER_BASIC","KGZ",2006,83.20168
"21","WSH_WATER_BASIC","LCA",2015,95.56809
"22","WSH_WATER_BASIC","THA",2020,100
"23","WSH_WATER_BASIC","SAU",2007,100
"24","WSH_WATER_BASIC","PRY",2002,94.54952
"25","WSH_WATER_BASIC","MWI",2020,85.92166
"26","WSH_WATER_BASIC","CYP",2020,99.76517
"27","WSH_WATER_BASIC","HND",2000,95.8116
"28","WSH_WATER_BASIC","LAO",2021,78.47296
"29","WSH_WATER_BASIC","JOR",2013,98.87807
"30","WSH_WATER_BASIC","CHE",2006,100
"31","WSH_WATER_BASIC","BWA",2009,81.73516
"32","WSH_WATER_BASIC","AUT",2013,100
"33","WSH_WATER_BASIC","AFG",2013,79.85807
"34","WSH_WATER_BASIC","YEM",2005,44.92921
"35","WSH_WATER_BASIC","SUR",2006,79.71545
"36","WSH_WATER_BASIC","CAN",2008,98.38867
"37","WSH_WATER_BASIC","ARG",2006,84.69417
"38","WSH_WATER_BASIC","KAZ",2008,92.97423
"39","WSH_WATER_BASIC","PRT",2013,99.17012
"40","WSH_WATER_BASIC","TKM",2000,96.42777
"41","WSH_WATER_BASIC","SLV",2021,98.19447
"42","WSH_WATER_BASIC","GIN",2005,53.54664
"43","WSH_WATER_BASIC","MDG",2022,53.46588
"44","WSH_WATER_BASIC","MMR",2016,67.1328
"45","WSH_WATER_BASIC","EGY",2020,99.28596
"46","WSH_WATER_BASIC","PRY",2007,86.0494
"47","WSH_WATER_BASIC","BTN",2003,85.75393
"48","WSH_WATER_BASIC","AND",2014,100
"49","WSH_WATER_BASIC","UZB",2000,96.39745
"50","WSH_WATER_BASIC","DNK",2019,100
"51","WSH_WATER_BASIC","KAZ",2009,97.99529
