"","IndicatorCode","Country","Year","Value"
"1","WSH_WATER_SAFELY_MANAGED","UKR",2000,8.58286
"2","WSH_WATER_SAFELY_MANAGED","ESP",2018,99.78135
"3","WSH_WATER_SAFELY_MANAGED","BTN",2003,16.78378
"4","WSH_WATER_SAFELY_MANAGED","SWZ",2004,73.64319
"5","WSH_WATER_SAFELY_MANAGED","MAR",2013,62.55336
"6","WSH_WATER_SAFELY_MANAGED","AZE",2011,90.85973
"7","WSH_WATER_SAFELY_MANAGED","DZA",2009,60.20913
"8","WSH_WATER_SAFELY_MANAGED","CAF",2016,2.49999
"9","WSH_WATER_SAFELY_MANAGED","GLOBAL",2013,80.0216
"10","WSH_WATER_SAFELY_MANAGED","EMR",2005,73.09671
"11","WSH_WATER_SAFELY_MANAGED","PER",2008,17.20777
"12","WSH_WATER_SAFELY_MANAGED","UZB",2020,88.64441
"13","WSH_WATER_SAFELY_MANAGED","UGA",2019,40.98393
"14","WSH_WATER_SAFELY_MANAGED","ROU",2004,66.65007
"15","WSH_WATER_SAFELY_MANAGED","MWI",2014,13.05329
"16","WSH_WATER_SAFELY_MANAGED","ALB",2009,60.30091
"17","WSH_WATER_SAFELY_MANAGED","EUR",2001,70.10059
"18","WSH_WATER_SAFELY_MANAGED","SEAR",2002,NA
"19","WSH_WATER_SAFELY_MANAGED","MNG",2008,4.16271
"20","WSH_WATER_SAFELY_MANAGED","SUR",2012,54.06621
"21","WSH_WATER_SAFELY_MANAGED","ZAF",2012,85.93809
"22","WSH_WATER_SAFELY_MANAGED","POL",2009,93.50833
"23","WSH_WATER_SAFELY_MANAGED","MNG",2021,50.29432
"24","WSH_WATER_SAFELY_MANAGED","LVA",2005,92.55305
"25","WSH_WATER_SAFELY_MANAGED","IDN",2017,33.90285
"26","WSH_WATER_SAFELY_MANAGED","UGA",2002,0.52004
"27","WSH_WATER_SAFELY_MANAGED","ETH",2017,10.79195
"28","WSH_WATER_SAFELY_MANAGED","EST",2009,94.77131
"29","WSH_WATER_SAFELY_MANAGED","TCD",2002,15.19059
"30","WSH_WATER_SAFELY_MANAGED","DZA",2018,68.85568
"31","WSH_WATER_SAFELY_MANAGED","VUT",2016,55.8285
"32","WSH_WATER_SAFELY_MANAGED","COL",2002,69.17526
"33","WSH_WATER_SAFELY_MANAGED","DEU",2001,99.84328
"34","WSH_WATER_SAFELY_MANAGED","FRA",2010,98.20785
"35","WSH_WATER_SAFELY_MANAGED","AMR",2018,83.42742
"36","WSH_WATER_SAFELY_MANAGED","HND",2002,42.14839
"37","WSH_WATER_SAFELY_MANAGED","KGZ",2015,53.72725
"38","WSH_WATER_SAFELY_MANAGED","GEO",2002,87.30369
"39","WSH_WATER_SAFELY_MANAGED","ISR",2022,99.47819
"40","WSH_WATER_SAFELY_MANAGED","GLOBAL",2010,65.89751
"41","WSH_WATER_SAFELY_MANAGED","TZA",2016,23.89047
"42","WSH_WATER_SAFELY_MANAGED","NGA",2000,12.60081
"43","WSH_WATER_SAFELY_MANAGED","AZE",2019,70.16407
"44","WSH_WATER_SAFELY_MANAGED","ZWE",2018,26.80794
"45","WSH_WATER_SAFELY_MANAGED","UZB",2000,27.70505
"46","WSH_WATER_SAFELY_MANAGED","IRN",2013,95.93785
"47","WSH_WATER_SAFELY_MANAGED","LSO",2019,8.74175
"48","WSH_WATER_SAFELY_MANAGED","DZA",2012,81.65232
"49","WSH_WATER_SAFELY_MANAGED","ESP",2008,99.60008
"50","WSH_WATER_SAFELY_MANAGED","SVK",2015,98.93553
"51","WSH_WATER_SAFELY_MANAGED","SLE",2015,6.07629
"52","WSH_WATER_SAFELY_MANAGED","HND",2018,44.29863
"53","WSH_WATER_SAFELY_MANAGED","NGA",2007,18.21312
"54","WSH_WATER_SAFELY_MANAGED","GTM",2007,41.57825
"55","WSH_WATER_SAFELY_MANAGED","VNM",2002,37.55708
"56","WSH_WATER_SAFELY_MANAGED","CRI",2003,77.40466
"57","WSH_WATER_SAFELY_MANAGED","PRY",2008,37.8582
"58","WSH_WATER_SAFELY_MANAGED","MWI",2020,16.4864
"59","WSH_WATER_SAFELY_MANAGED","COL",2003,35.02937
"60","WSH_WATER_SAFELY_MANAGED","AMR",2018,67.61447
"61","WSH_WATER_SAFELY_MANAGED","GEO",2021,87.94545
"62","WSH_WATER_SAFELY_MANAGED","GNB",2004,5.76322
"63","WSH_WATER_SAFELY_MANAGED","BRA",2018,84.40004
"64","WSH_WATER_SAFELY_MANAGED","ROU",2016,81.90562
"65","WSH_WATER_SAFELY_MANAGED","BGR",2020,95.96708
"66","WSH_WATER_SAFELY_MANAGED","FIN",2013,98.97222
"67","WSH_WATER_SAFELY_MANAGED","TGO",2002,7.68564
"68","WSH_WATER_SAFELY_MANAGED","IRQ",2013,63.29024
"69","WSH_WATER_SAFELY_MANAGED","SEN",2019,11.91983
"70","WSH_WATER_SAFELY_MANAGED","ECU",2005,45.42116
"71","WSH_WATER_SAFELY_MANAGED","IRQ",2005,61.61347
"72","WSH_WATER_SAFELY_MANAGED","STP",2002,32.85314
"73","WSH_WATER_SAFELY_MANAGED","GMB",2003,46.7633
"74","WSH_WATER_SAFELY_MANAGED","BGD",2011,54.95632
