DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
467054,Population with no drinking water on premises,80.9,1,BF,Burkina Faso,2021,BF2021DHS,WS_PCDW_P_NDW,250212010,I,1000,0,Total,Total,0,NA,1,1,WSPCDWPNDW,NA,2021,DHS,82391,83215,NA,NA,NA
323655,Adult female age 15 or older collects the drinking water,75.2,1,BF,Burkina Faso,2021,BF2021DHS,WS_PCDW_P_AFM,250212030,I,1000,0,Total,Total,0,NA,1,1,WSPCDWPAFM,NA,2021,DHS,66656,68355,NA,NA,NA
323654,Adult male age 15 or older collects the drinking water,5.1,1,BF,Burkina Faso,2021,BF2021DHS,WS_PCDW_P_AML,250212040,I,1000,0,Total,Total,0,NA,1,1,WSPCDWPAML,NA,2021,DHS,66656,68355,NA,NA,NA
323660,Female child under age 15 collects the drinking water,14,1,BF,Burkina Faso,2021,BF2021DHS,WS_PCDW_P_CFM,250212050,I,1000,0,Total,Total,0,NA,1,1,WSPCDWPCFM,NA,2021,DHS,66656,68355,NA,NA,NA
323661,Male child under age 15 collects the drinking water,3.9,1,BF,Burkina Faso,2021,BF2021DHS,WS_PCDW_P_CML,250212060,I,1000,0,Total,Total,0,NA,1,1,WSPCDWPCML,NA,2021,DHS,66656,68355,NA,NA,NA
323662,Person not in household collects the drinking water,1.9,1,BF,Burkina Faso,2021,BF2021DHS,WS_PCDW_P_NHH,250212070,I,1000,0,Total,Total,0,NA,1,1,WSPCDWPNHH,NA,2021,DHS,66656,68355,NA,NA,NA
506146,Population with no drinking water on premises,79.7,1,CD,Congo Democratic Republic,2023,CD2023DHS,WS_PCDW_P_NDW,250212010,I,1000,0,Total,Total,0,NA,1,1,WSPCDWPNDW,NA,2023-24,DHS,139064,138569,NA,NA,NA
128139,Adult female age 15 or older collects the drinking water,68.9,1,CD,Congo Democratic Republic,2023,CD2023DHS,WS_PCDW_P_AFM,250212030,I,1000,0,Total,Total,0,NA,1,1,WSPCDWPAFM,NA,2023-24,DHS,110872,121221,NA,NA,NA
128135,Adult male age 15 or older collects the drinking water,10.4,1,CD,Congo Democratic Republic,2023,CD2023DHS,WS_PCDW_P_AML,250212040,I,1000,0,Total,Total,0,NA,1,1,WSPCDWPAML,NA,2023-24,DHS,110872,121221,NA,NA,NA
128136,Female child under age 15 collects the drinking water,13.3,1,CD,Congo Democratic Republic,2023,CD2023DHS,WS_PCDW_P_CFM,250212050,I,1000,0,Total,Total,0,NA,1,1,WSPCDWPCFM,NA,2023-24,DHS,110872,121221,NA,NA,NA
