DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
272761,Population with water on the premises,46.6,1,AF,Afghanistan,2015,AF2015DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2015,DHS,196048,201833,NA,NA,NA
272687,Population with water 30 minutes or less away round trip,44.1,1,AF,Afghanistan,2015,AF2015DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2015,DHS,196048,201833,NA,NA,NA
272762,Population with water more than 30 minutes away round trip,8.1,1,AF,Afghanistan,2015,AF2015DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2015,DHS,196048,201833,NA,NA,NA
272680,Population with unknown or missing information on round trip time to water,1.2,1,AF,Afghanistan,2015,AF2015DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2015,DHS,196048,201833,NA,NA,NA
590017,Population with water on the premises,85.5,1,AL,Albania,2008,AL2008DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2008-09,DHS,30522,30880,NA,NA,NA
590046,Population with water 30 minutes or less away round trip,11.8,1,AL,Albania,2008,AL2008DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2008-09,DHS,30522,30880,NA,NA,NA
590018,Population with water more than 30 minutes away round trip,2.6,1,AL,Albania,2008,AL2008DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2008-09,DHS,30522,30880,NA,NA,NA
590033,Population with unknown or missing information on round trip time to water,0.2,1,AL,Albania,2008,AL2008DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2008-09,DHS,30522,30880,NA,NA,NA
303630,Population with water on the premises,76.8,1,AL,Albania,2017,AL2017DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2017-18,DHS,52128,53511,NA,NA,NA
303619,Population with water 30 minutes or less away round trip,21.5,1,AL,Albania,2017,AL2017DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2017-18,DHS,52128,53511,NA,NA,NA
303631,Population with water more than 30 minutes away round trip,1.3,1,AL,Albania,2017,AL2017DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2017-18,DHS,52128,53511,NA,NA,NA
303614,Population with unknown or missing information on round trip time to water,0.4,1,AL,Albania,2017,AL2017DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2017-18,DHS,52128,53511,NA,NA,NA
109853,Population with water on the premises,87.4,1,AM,Armenia,2000,AM2000DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2000,DHS,25961,26157,NA,NA,NA
109872,Population with water 30 minutes or less away round trip,9.8,1,AM,Armenia,2000,AM2000DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2000,DHS,25961,26157,NA,NA,NA
109858,Population with water more than 30 minutes away round trip,2.7,1,AM,Armenia,2000,AM2000DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2000,DHS,25961,26157,NA,NA,NA
109856,Population with unknown or missing information on round trip time to water,0.1,1,AM,Armenia,2000,AM2000DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2000,DHS,25961,26157,NA,NA,NA
408674,Population with water on the premises,90.4,1,AM,Armenia,2005,AM2005DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2005,DHS,25235,24888,NA,NA,NA
408651,Population with water 30 minutes or less away round trip,8.3,1,AM,Armenia,2005,AM2005DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2005,DHS,25235,24888,NA,NA,NA
408675,Population with water more than 30 minutes away round trip,1.1,1,AM,Armenia,2005,AM2005DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2005,DHS,25235,24888,NA,NA,NA
