"","Id","IndicatorCode","SpatialDimType","Country","ParentLocationCode","TimeDimType","ParentLocation","Dim1Type","Year","Dim1","Dim2Type","Dim2","Dim3Type","Dim3","DataSourceDimType","DataSourceDim","Value","NumericValue","Low","High","Comments","Date","TimeDimensionValue","TimeDimensionBegin","TimeDimensionEnd"
"1",3791994,"WSH_20_WAT","COUNTRY","AGO","AFR","YEAR","Africa","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.40 [0.29-0.52]",0.39756,0.29019,0.51769,NA,"2022-11-16T11:21:06+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"2",1100839,"WSH_20_WAT","COUNTRY","BFA","AFR","YEAR","Africa","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.46 [0.35-0.58]",0.4597,0.35148,0.57578,NA,"2022-11-16T11:21:06+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"3",961251,"WSH_20_WAT","COUNTRY","PNG","WPR","YEAR","Western Pacific","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.43 [0.29-0.58]",0.43305,0.28765,0.58096,NA,"2022-11-16T11:21:07+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"4",9915942,"WSH_20_WAT","COUNTRY","TUN","EMR","YEAR","Eastern Mediterranean","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.26 [0.17-0.38]",0.25752,0.17106,0.37804,NA,"2022-11-16T11:21:08+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"5",8427197,"WSH_20_WAT","COUNTRY","TGO","AFR","YEAR","Africa","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.43 [0.33-0.54]",0.43242,0.32772,0.54392,NA,"2022-11-16T11:21:08+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"6",5366346,"WSH_20_WAT","COUNTRY","MEX","AMR","YEAR","Americas","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.18 [0.08-0.36]",0.18378,0.07613,0.3615,NA,"2022-11-16T11:21:07+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"7",7591521,"WSH_20_WAT","COUNTRY","SSD","AFR","YEAR","Africa","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.46 [0.35-0.58]",0.46343,0.35378,0.58001,NA,"2022-11-16T11:21:08+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"8",7648388,"WSH_20_WAT","COUNTRY","BRA","AMR","YEAR","Americas","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.13 [0.05-0.32]",0.13177,0.0471,0.31525,NA,"2022-11-16T11:21:06+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"9",4127502,"WSH_20_WAT","COUNTRY","SLV","AMR","YEAR","Americas","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.23 [0.12-0.39]",0.23347,0.12432,0.39133,NA,"2022-11-16T11:21:08+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"10",6680132,"WSH_20_WAT","COUNTRY","CRI","AMR","YEAR","Americas","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.15 [0.06-0.32]",0.15411,0.06297,0.32322,NA,"2022-11-16T11:21:06+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"11",7591692,"WSH_20_WAT","COUNTRY","LAO","WPR","YEAR","Western Pacific","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.26 [0.18-0.36]",0.26197,0.1821,0.36465,NA,"2022-11-16T11:21:07+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"12",5781138,"WSH_20_WAT","COUNTRY","GMB","AFR","YEAR","Africa","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.40 [0.29-0.52]",0.39607,0.28752,0.51857,NA,"2022-11-16T11:21:06+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"13",5278929,"WSH_20_WAT","COUNTRY","BGD","SEAR","YEAR","South-East Asia","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.35 [0.24-0.50]",0.35445,0.23693,0.49745,NA,"2022-11-16T11:21:06+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"14",1126756,"WSH_20_WAT","COUNTRY","TKM","EUR","YEAR","Europe","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.10 [0.03-0.28]",0.09575,0.02659,0.27588,NA,"2022-11-16T11:21:08+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"15",7769051,"WSH_20_WAT","COUNTRY","NPL","SEAR","YEAR","South-East Asia","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.36 [0.26-0.50]",0.36397,0.257,0.49562,NA,"2022-11-16T11:21:07+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"16",4805876,"WSH_20_WAT","COUNTRY","DJI","EMR","YEAR","Eastern Mediterranean","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.40 [0.26-0.55]",0.39773,0.25941,0.54866,NA,"2022-11-16T11:21:06+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"17",1449671,"WSH_20_WAT","COUNTRY","UGA","AFR","YEAR","Africa","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.37 [0.28-0.48]",0.37155,0.27882,0.47743,NA,"2022-11-16T11:21:08+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"18",1810199,"WSH_20_WAT","COUNTRY","KEN","AFR","YEAR","Africa","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.36 [0.27-0.47]",0.35987,0.26902,0.46643,NA,"2022-11-16T11:21:07+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"19",7664,"WSH_20_WAT","COUNTRY","ALB","EUR","YEAR","Europe","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.23 [0.10-0.41]",0.22943,0.0994,0.41011,NA,"2022-11-16T11:21:06+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
