"","Id","IndicatorCode","SpatialDimType","Country","ParentLocationCode","TimeDimType","ParentLocation","Dim1Type","Year","Dim1","Dim2Type","Dim2","Dim3Type","Dim3","DataSourceDimType","DataSourceDim","Value","NumericValue","Low","High","Comments","Date","TimeDimensionValue","TimeDimensionBegin","TimeDimensionEnd"
"1",731,"WSH_WATER_SAFELY_MANAGED","COUNTRY","UKR","EUR","YEAR","Europe","RESIDENCEAREATYPE",2000,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"9",8.58286,NA,NA,NA,"2023-07-10T13:19:10+02:00","2000","2000-01-01T00:00:00+01:00","2000-12-31T00:00:00+01:00"
"2",1751,"WSH_WATER_SAFELY_MANAGED","COUNTRY","ESP","EUR","YEAR","Europe","RESIDENCEAREATYPE",2018,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"100",99.78135,NA,NA,NA,"2023-07-10T13:17:56+02:00","2018","2018-01-01T00:00:00+01:00","2018-12-31T00:00:00+01:00"
"3",3842,"WSH_WATER_SAFELY_MANAGED","COUNTRY","BTN","SEAR","YEAR","South-East Asia","RESIDENCEAREATYPE",2003,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"17",16.78378,NA,NA,NA,"2023-07-10T13:17:41+02:00","2003","2003-01-01T00:00:00+01:00","2003-12-31T00:00:00+01:00"
"4",5051,"WSH_WATER_SAFELY_MANAGED","COUNTRY","SWZ","AFR","YEAR","Africa","RESIDENCEAREATYPE",2004,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"74",73.64319,NA,NA,NA,"2023-07-10T13:19:00+02:00","2004","2004-01-01T00:00:00+01:00","2004-12-31T00:00:00+01:00"
"5",5632,"WSH_WATER_SAFELY_MANAGED","COUNTRY","MAR","EMR","YEAR","Eastern Mediterranean","RESIDENCEAREATYPE",2013,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"63",62.55336,NA,NA,NA,"2023-07-10T13:18:27+02:00","2013","2013-01-01T00:00:00+01:00","2013-12-31T00:00:00+01:00"
"6",6013,"WSH_WATER_SAFELY_MANAGED","COUNTRY","AZE","EUR","YEAR","Europe","RESIDENCEAREATYPE",2011,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"91",90.85973,NA,NA,NA,"2023-07-10T13:17:36+02:00","2011","2011-01-01T00:00:00+01:00","2011-12-31T00:00:00+01:00"
"7",11357,"WSH_WATER_SAFELY_MANAGED","COUNTRY","DZA","AFR","YEAR","Africa","RESIDENCEAREATYPE",2009,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"60",60.20913,NA,NA,NA,"2023-07-10T13:17:54+02:00","2009","2009-01-01T00:00:00+01:00","2009-12-31T00:00:00+01:00"
"8",11470,"WSH_WATER_SAFELY_MANAGED","COUNTRY","CAF","AFR","YEAR","Africa","RESIDENCEAREATYPE",2016,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"2",2.49999,NA,NA,NA,"2023-07-10T13:17:43+02:00","2016","2016-01-01T00:00:00+01:00","2016-12-31T00:00:00+01:00"
"9",12888,"WSH_WATER_SAFELY_MANAGED","GLOBAL","GLOBAL",NA,"YEAR",NA,"RESIDENCEAREATYPE",2013,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"80",80.0216,NA,NA,NA,"2023-07-10T08:09:16+02:00","2013","2013-01-01T00:00:00+01:00","2013-12-31T00:00:00+01:00"
"10",12933,"WSH_WATER_SAFELY_MANAGED","REGION","EMR",NA,"YEAR",NA,"RESIDENCEAREATYPE",2005,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"73",73.09671,NA,NA,NA,"2023-07-10T08:09:12+02:00","2005","2005-01-01T00:00:00+01:00","2005-12-31T00:00:00+01:00"
"11",13671,"WSH_WATER_SAFELY_MANAGED","COUNTRY","PER","AMR","YEAR","Americas","RESIDENCEAREATYPE",2008,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"17",17.20777,NA,NA,NA,"2023-07-10T13:18:42+02:00","2008","2008-01-01T00:00:00+01:00","2008-12-31T00:00:00+01:00"
"12",14008,"WSH_WATER_SAFELY_MANAGED","COUNTRY","UZB","EUR","YEAR","Europe","RESIDENCEAREATYPE",2020,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"89",88.64441,NA,NA,NA,"2023-07-10T13:19:13+02:00","2020","2020-01-01T00:00:00+01:00","2020-12-31T00:00:00+01:00"
"13",15779,"WSH_WATER_SAFELY_MANAGED","COUNTRY","UGA","AFR","YEAR","Africa","RESIDENCEAREATYPE",2019,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"41",40.98393,NA,NA,NA,"2023-07-10T13:19:10+02:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"14",16943,"WSH_WATER_SAFELY_MANAGED","COUNTRY","ROU","EUR","YEAR","Europe","RESIDENCEAREATYPE",2004,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"67",66.65007,NA,NA,NA,"2023-07-10T13:18:51+02:00","2004","2004-01-01T00:00:00+01:00","2004-12-31T00:00:00+01:00"
"15",17800,"WSH_WATER_SAFELY_MANAGED","COUNTRY","MWI","AFR","YEAR","Africa","RESIDENCEAREATYPE",2014,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"13",13.05329,NA,NA,NA,"2023-07-10T13:18:35+02:00","2014","2014-01-01T00:00:00+01:00","2014-12-31T00:00:00+01:00"
"16",18215,"WSH_WATER_SAFELY_MANAGED","COUNTRY","ALB","EUR","YEAR","Europe","RESIDENCEAREATYPE",2009,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"60",60.30091,NA,NA,NA,"2023-07-10T13:17:34+02:00","2009","2009-01-01T00:00:00+01:00","2009-12-31T00:00:00+01:00"
"17",21293,"WSH_WATER_SAFELY_MANAGED","REGION","EUR",NA,"YEAR",NA,"RESIDENCEAREATYPE",2001,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"70",70.10059,NA,NA,NA,"2023-07-10T08:09:13+02:00","2001","2001-01-01T00:00:00+01:00","2001-12-31T00:00:00+01:00"
"18",23609,"WSH_WATER_SAFELY_MANAGED","REGION","SEAR",NA,"YEAR",NA,"RESIDENCEAREATYPE",2002,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-10T08:09:14+02:00","2002","2002-01-01T00:00:00+01:00","2002-12-31T00:00:00+01:00"
"19",24484,"WSH_WATER_SAFELY_MANAGED","COUNTRY","MNG","WPR","YEAR","Western Pacific","RESIDENCEAREATYPE",2008,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"4",4.16271,NA,NA,NA,"2023-07-10T13:18:33+02:00","2008","2008-01-01T00:00:00+01:00","2008-12-31T00:00:00+01:00"
"20",25006,"WSH_WATER_SAFELY_MANAGED","COUNTRY","SUR","AMR","YEAR","Americas","RESIDENCEAREATYPE",2012,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"54",54.06621,NA,NA,NA,"2023-07-10T13:18:58+02:00","2012","2012-01-01T00:00:00+01:00","2012-12-31T00:00:00+01:00"
"21",32652,"WSH_WATER_SAFELY_MANAGED","COUNTRY","ZAF","AFR","YEAR","Africa","RESIDENCEAREATYPE",2012,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"86",85.93809,NA,NA,NA,"2023-07-10T13:19:17+02:00","2012","2012-01-01T00:00:00+01:00","2012-12-31T00:00:00+01:00"
"22",36420,"WSH_WATER_SAFELY_MANAGED","COUNTRY","POL","EUR","YEAR","Europe","RESIDENCEAREATYPE",2009,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"94",93.50833,NA,NA,NA,"2023-07-10T13:18:45+02:00","2009","2009-01-01T00:00:00+01:00","2009-12-31T00:00:00+01:00"
"23",36762,"WSH_WATER_SAFELY_MANAGED","COUNTRY","MNG","WPR","YEAR","Western Pacific","RESIDENCEAREATYPE",2021,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"50",50.29432,NA,NA,NA,"2023-07-10T13:18:34+02:00","2021","2021-01-01T00:00:00+01:00","2021-12-31T00:00:00+01:00"
"24",38053,"WSH_WATER_SAFELY_MANAGED","COUNTRY","LVA","EUR","YEAR","Europe","RESIDENCEAREATYPE",2005,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"93",92.55305,NA,NA,NA,"2023-07-10T13:18:26+02:00","2005","2005-01-01T00:00:00+01:00","2005-12-31T00:00:00+01:00"
"25",39881,"WSH_WATER_SAFELY_MANAGED","COUNTRY","IDN","SEAR","YEAR","South-East Asia","RESIDENCEAREATYPE",2017,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"34",33.90285,NA,NA,NA,"2023-07-10T13:18:11+02:00","2017","2017-01-01T00:00:00+01:00","2017-12-31T00:00:00+01:00"
"26",39937,"WSH_WATER_SAFELY_MANAGED","COUNTRY","UGA","AFR","YEAR","Africa","RESIDENCEAREATYPE",2002,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"1",0.52004,NA,NA,NA,"2023-07-10T13:19:09+02:00","2002","2002-01-01T00:00:00+01:00","2002-12-31T00:00:00+01:00"
"27",40516,"WSH_WATER_SAFELY_MANAGED","COUNTRY","ETH","AFR","YEAR","Africa","RESIDENCEAREATYPE",2017,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"11",10.79195,NA,NA,NA,"2023-07-10T13:17:58+02:00","2017","2017-01-01T00:00:00+01:00","2017-12-31T00:00:00+01:00"
"28",46349,"WSH_WATER_SAFELY_MANAGED","COUNTRY","EST","EUR","YEAR","Europe","RESIDENCEAREATYPE",2009,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"95",94.77131,NA,NA,NA,"2023-07-10T13:17:57+02:00","2009","2009-01-01T00:00:00+01:00","2009-12-31T00:00:00+01:00"
"29",47250,"WSH_WATER_SAFELY_MANAGED","COUNTRY","TCD","AFR","YEAR","Africa","RESIDENCEAREATYPE",2002,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"15",15.19059,NA,NA,NA,"2023-07-10T13:19:01+02:00","2002","2002-01-01T00:00:00+01:00","2002-12-31T00:00:00+01:00"
"30",47753,"WSH_WATER_SAFELY_MANAGED","COUNTRY","DZA","AFR","YEAR","Africa","RESIDENCEAREATYPE",2018,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"69",68.85568,NA,NA,NA,"2023-07-10T13:17:54+02:00","2018","2018-01-01T00:00:00+01:00","2018-12-31T00:00:00+01:00"
"31",48827,"WSH_WATER_SAFELY_MANAGED","COUNTRY","VUT","WPR","YEAR","Western Pacific","RESIDENCEAREATYPE",2016,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"56",55.8285,NA,NA,NA,"2023-07-10T13:19:14+02:00","2016","2016-01-01T00:00:00+01:00","2016-12-31T00:00:00+01:00"
"32",53002,"WSH_WATER_SAFELY_MANAGED","COUNTRY","COL","AMR","YEAR","Americas","RESIDENCEAREATYPE",2002,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"69",69.17526,NA,NA,NA,"2023-07-10T13:17:48+02:00","2002","2002-01-01T00:00:00+01:00","2002-12-31T00:00:00+01:00"
"33",56348,"WSH_WATER_SAFELY_MANAGED","COUNTRY","DEU","EUR","YEAR","Europe","RESIDENCEAREATYPE",2001,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"100",99.84328,NA,NA,NA,"2023-07-10T13:17:51+02:00","2001","2001-01-01T00:00:00+01:00","2001-12-31T00:00:00+01:00"
"34",56653,"WSH_WATER_SAFELY_MANAGED","COUNTRY","FRA","EUR","YEAR","Europe","RESIDENCEAREATYPE",2010,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"98",98.20785,NA,NA,NA,"2023-07-10T13:18:00+02:00","2010","2010-01-01T00:00:00+01:00","2010-12-31T00:00:00+01:00"
"35",57540,"WSH_WATER_SAFELY_MANAGED","REGION","AMR",NA,"YEAR",NA,"RESIDENCEAREATYPE",2018,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"83",83.42742,NA,NA,NA,"2023-07-10T08:09:12+02:00","2018","2018-01-01T00:00:00+01:00","2018-12-31T00:00:00+01:00"
"36",58405,"WSH_WATER_SAFELY_MANAGED","COUNTRY","HND","AMR","YEAR","Americas","RESIDENCEAREATYPE",2002,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"42",42.14839,NA,NA,NA,"2023-07-10T13:18:08+02:00","2002","2002-01-01T00:00:00+01:00","2002-12-31T00:00:00+01:00"
"37",59582,"WSH_WATER_SAFELY_MANAGED","COUNTRY","KGZ","EUR","YEAR","Europe","RESIDENCEAREATYPE",2015,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"54",53.72725,NA,NA,NA,"2023-07-10T13:18:18+02:00","2015","2015-01-01T00:00:00+01:00","2015-12-31T00:00:00+01:00"
"38",59898,"WSH_WATER_SAFELY_MANAGED","COUNTRY","GEO","EUR","YEAR","Europe","RESIDENCEAREATYPE",2002,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"87",87.30369,NA,NA,NA,"2023-07-10T13:18:01+02:00","2002","2002-01-01T00:00:00+01:00","2002-12-31T00:00:00+01:00"
